,Operador,cant_Accidentes
596,Military - TAM (Bolivia),0
597,Yemen Airlines,2
598,ARTOP Aerotopografica LDA,1
599,Capitol Airways,2
600,Southeast Airlines,4
601,California Air Freight,1
602,Austral Lineas Aeras (Argentina),0
603,Linea Expresa Bolivar,1
604,Air Jordan,1
605,Air Charter,14
606,Dwyer Flying Service - Private Charter,1
607,Turkish Airlines (THY),0
608,Southern Cross Airways,1
609,Austria-Flugdienst,1
610,Transportes Aereos Peruanos,1
611,Lineas Aéreas Interpolar,1
612,Aerolineas Nacionales,1
613,Militiary - US Air Force,1
614,Tranair,1
615,PAS,1
616,Transair,4
617,Reeve Aleutian Airlines,1
618,T.A. Intercontinentaux (France),0
619,Kappel-Van Eyck Airways,1
620,Pacific Air Lines,13
621,Piedmont Airlines,5
622,Olympic Airways,4
623,Wheeler Airlines,2
624,Allegheny Airlines,7
625,California Aircraft,1
626,Transportes Aéreos de Timor,1
627,REAL / Military - U.S. Navy,1
628,SAMSA,1
629,Lloyd Aereo Colombiano,1
630,Piedmont Airlines / Private,2
631,Sobelair SA (Belgium),0
632,Balair,1
633,Transamerican Air Transport,1
634,Pacific Northern Airlines,1
635,Gulf Aviation (Kalinga Airways),0
636,Military - U.S. Misson,1
637,Ethiopian Airlines,15
638,Flyve Tjenesten,1
639,Military - Royal Belgian Air Force,2
640,Chicago Helicopter Airways,1
641,Deutsche Flugdienst,1
642,Military - French Naval Aviation,3
643,Don Everall Aviation,1
644,World Airways,46
645,Austrian Airlines,1
646,United Arab Airlines,10
647,Itavia,4
648,Arctic Pacific,1
649,Royal Nepal Airlines,8
650,Military - Argentine Air Force,4
651,Finnair,2
652,Air Cameroon,1
653,Continentale Deutsche Luftreederei,1
654,Transcontinental,2
655,Malev Hungarian Airlines,7
656,Cunard Eagle Airways,1
657,Eastern Provincial Airways,2
658,REAL Transportes Aereos,1
659,Lineas Aéreas Costarricenses,2
660,President Airlines,1
661,Transair Sweden,1
662,Derby Aviation,1
663,Air Haiti International,1
664,Bay of Plenty Airways,1
665,Rhodesian Air Services,1
666,Military - Força Aérea Portuguesa,1
667,Military - Belgian Air Force,2
668,Kodiak Airways,2
669,Corporacion Boliviano de Fomento,1
670,Caledonian Airways,1
671,Societa Aerea Mediterranea,1
672,Military - French Air Force,8
673,Military - Colombian Air Force,1
674,AVISPA,1
675,Channel Airways,1
676,Military - Union of Burma Air Force,2
677,East Provincial Airways,1
678,Trans Mediterranean Airways,4
679,Panair do Brazil,1
680,Taxader Airlines,2
681,Military - Japan Maritime Self Defense Force,2
682,Private - Ashland Oil Company,1
683,Aerolineas Abaroa,2
684,United Nations,5
685,Czechoslovak Airlinex,1
686,VASP / Private,1
687,Carvair ATL-98,1
688,Air Nautic,2
689,Wien,4
690,West Coast Airlines,3
691,Skyvan Airways,1
692,Middle East Airlines / Military - Turkish Air ForceC-47,1
693,Trans Aircraft (Western) Ltd.,0
694,Saudi Arabian Royal Flight,1
695,Military - Japan Air Self Defense Force,1
696,Air Afrique,2
697,Military - Chilean Air Force,2
698,Tarom,12
699,Mohawk Airlines,4
700,Air Madagascar,3
701,Air America,9
702,Sadai,1
703,Danish Air Force,1
704,Air Inter,5
705,American Air  Export & Import Co.,1
706,Fujita Koku Kabushki Kai,1
707,Military - U.S. Air Force / Military -  U.S. Air Force,1
708,Aeronaves de Panama,1
709,New York Airways,3
710,British Aircraft Corporation,1
711,Aerolineas Litoral Argentina,1
712,South Central Airlines,1
713,Lloyd Aéreo Boliviano,3
714,Fuji Airlines,1
715,British Eagle International Airlines,2
716,Paradise Airlines,1
717,Snow Valley Ski Lines,1
718,Taxi Aereo de Santander,1
719,Slick Airways - Cargo,1
720,Frontier Airlines,2
721,Commercial Air Taxi,1
722,Private - Facilities Management Co.,1
723,Aden Airways,2
724,Wein Alaska Airlines Inc.,1
725,Military  - US Air Force,1
726,Military - US Air Navy,1
727,Saudi Arabian Airlines,7
728,TASSA,1
729,Servicios Aéreos Cochabamba,1
730,Interocean,1
731,Mustang Aviati,1
732,Bonanza Airlines,1
733,Linjeflyg,1
734,Air Congo (BIAS)?,1
735,Military - Vietnamese Air Force,5
736,Fleming Airways System Transport,1
737,SATCO,2
738,Lineas Aéreas Sud Americana,1
739,Aeroflot / Kazakhstan,1
740,Aerovias del Norte,1
741,Aerolineas El Salvador,1
742,Fairways (Filipinas Orient Airways),0
743,Miami Aviaition/Air Manila,1
744,Alia Royal Jordanian Airlines,4
745,British United Airways,1
746,Mattagami Skyways,1
747,Military - U.S. Army / Military - U.S. Army,2
748,Virgin Islands Airways,1
749,Rutas Internacionales Peruanes,1
750,Filipinas Orient Airways,2
751,TAO,5
752,International Control Commision,1
753,Aerolineas TAO,3
754,Paul Kelly Flying Service Inc.,1
755,Edde Airlines,1
756,Trans World Airlines / Eastern Air Lines,1
757,Spantax,5
758,Air Manila,4
759,Garuda  Indonesia Airlines / Garuda Indonesia Airlines,1
760,Satena,2
761,COHATA,1
762,Belgian International Air Services,1
763,Servicios Americanos,1
764,American Flyers Airline,1
765,Norair,1
766,Air New Zealand,4
767,Aeropesca Colombia,3
768,Alamo Airways,1
769,Private - Mainline Aviation,1
770,Aerovias Halcon,1
771,Alaska Coastal Airlines,1
772,Britannia Airways,2
773,Petroleum Helicopter,6
774,Transportno Aviatsionno Bulgaro-Soviet Obshchestvo,1
775,Aerocondor de Colombia,1
776,Syrian Arab Airlines,1
777,Lake Central Airlines,1
778,Compagnie Air Transport,1
779,Trans World Airlines / Private,2
780,Aeralpi,1
781,Caribbean Airlines,1
782,Air Algerie,6
783,Military - Imperial Iranian Air Force,2
784,Globe Air,1
785,Pelita Air Service,5
786,Greylock Airways / Private,1
787,Nordair,1
788,Air Canada,6
789,Air Ferry Ltd,1
790,British Midland Airways,2
791,Aer Turas,1
792,Thai International,1
793,Vehu Akat,1
794,Taiwan Aviation,1
795,China Airlines (Taiwan),0
796,Sadia,1
797,Lao Cathay Airlines,1
798,Thai Airways,7
799,Air Comores,1
800,Royal Air Lao,3
801,Ozark Air Lines / Private,1
802,Military - Russian Air Force,19
803,Ladeco,1
804,Aerovias Rojas,1
805,Los Angeles Airways,2
806,Rinaldo Piaggio,1
807,Purdue Airlines Inc.,1
808,BKS Air Transport,1
809,Aerolineas Flecha Austral,3
810,North Central Airlines / Private,1
811,Westwing,1
812,Bulair TABSO,1
813,Far Aviation - Air Taxi / Speeds Flying - Air Taxi,1
814,Pan African Airlines,1
815,Aerovias del Valle,1
816,Cable Commuter,1
817,Wien Consolidated Airlines,2
818,Interior Airways,1
819,Exportada De Sal S.A.,1
820,North Central Airlines,4
821,Servicios Aéreos Especiales,1
822,MacRobertson Miller Airlines,1
823,ERA Helicopter,1
824,Mineral County Airlines,1
825,Prinair,3
826,Continental Air Transport,3
827,Venezolana Internacional de Aviacion,1
828,Avion Airways,1
